DATE,LFWA64TTUSM647S
1977-01-01,135211100.0
1977-02-01,135413900.0
1977-03-01,135624400.0
1977-04-01,135782400.0
1977-05-01,136109400.0
1977-06-01,136290500.0
1977-07-01,136554700.0
1977-08-01,136725100.0
1977-09-01,136878300.0
1977-10-01,137166800.0
1977-11-01,137297500.0
1977-12-01,137435700.0
1978-01-01,137645300.0
1978-02-01,137896600.0
1978-03-01,138042800.0
1978-04-01,138157800.0
1978-05-01,138349000.0
1978-06-01,138621600.0
1978-07-01,138830500.0
1978-08-01,138983100.0
1978-09-01,139155500.0
1978-10-01,139381300.0
1978-11-01,139567100.0
1978-12-01,139758500.0
1979-01-01,140032500.0
1979-02-01,140219000.0
1979-03-01,140437800.0
1979-04-01,140495300.0
1979-05-01,140741800.0
1979-06-01,141072300.0
1979-07-01,141207300.0
1979-08-01,141359000.0
1979-09-01,141458700.0
1979-10-01,141692000.0
1979-11-01,141894800.0
1979-12-01,142041600.0
1980-01-01,142302500.0
1980-02-01,142453000.0
1980-03-01,142643800.0
1980-04-01,142878000.0
1980-05-01,143307200.0
1980-06-01,143580400.0
1980-07-01,143733700.0
1980-08-01,143987300.0
1980-09-01,144004700.0
1980-10-01,144060700.0
1980-11-01,144184400.0
1980-12-01,144226800.0
1981-01-01,144338400.0
1981-02-01,144435200.0
1981-03-01,144577200.0
1981-04-01,144689300.0
1981-05-01,144978500.0
1981-06-01,145417100.0
1981-07-01,145434200.0
1981-08-01,145509500.0
1981-09-01,145577100.0
1981-10-01,145779000.0
1981-11-01,146004000.0
1981-12-01,146186900.0
1982-01-01,146018400.0
1982-02-01,146083500.0
1982-03-01,146264600.0
1982-04-01,146492700.0
1982-05-01,146733500.0
1982-06-01,146954600.0
1982-07-01,147036400.0
1982-08-01,147156300.0
1982-09-01,147325900.0
1982-10-01,147554700.0
1982-11-01,147660100.0
1982-12-01,147834600.0
1983-01-01,147347400.0
1983-02-01,147469600.0
1983-03-01,147774500.0
1983-04-01,148131700.0
1983-05-01,148313300.0
1983-06-01,148194900.0
1983-07-01,148362500.0
1983-08-01,148534100.0
1983-09-01,148710500.0
1983-10-01,148859800.0
1983-11-01,148899300.0
1983-12-01,149042000.0
1984-01-01,149140100.0
1984-02-01,149273000.0
1984-03-01,149439800.0
1984-04-01,149637000.0
1984-05-01,149705300.0
1984-06-01,149827300.0
1984-07-01,149969900.0
1984-08-01,150101800.0
1984-09-01,150266600.0
1984-10-01,150349400.0
1984-11-01,150479200.0
1984-12-01,150685200.0
1985-01-01,150533600.0
1985-02-01,150677100.0
1985-03-01,150802800.0
1985-04-01,150920700.0
1985-05-01,151004000.0
1985-06-01,151257400.0
1985-07-01,151300600.0
1985-08-01,151372200.0
1985-09-01,151474400.0
1985-10-01,151616800.0
1985-11-01,151785600.0
1985-12-01,151927800.0
1986-01-01,152306300.0
1986-02-01,152438500.0
1986-03-01,152609800.0
1986-04-01,152760600.0
1986-05-01,152915600.0
1986-06-01,153044900.0
1986-07-01,153128400.0
1986-08-01,153274700.0
1986-09-01,153445300.0
1986-10-01,153573200.0
1986-11-01,153736000.0
1986-12-01,153811800.0
1987-01-01,153841300.0
1987-02-01,154055200.0
1987-03-01,154197700.0
1987-04-01,154343500.0
1987-05-01,154525300.0
1987-06-01,154668800.0
1987-07-01,154726600.0
1987-08-01,154798700.0
1987-09-01,154923700.0
1987-10-01,155025100.0
1987-11-01,155187900.0
1987-12-01,155264900.0
1988-01-01,155389300.0
1988-02-01,155513100.0
1988-03-01,155615100.0
